datetime,forecast_MW,actual_MW,curtailment_MW
2023-06-01 00:30:00,0,,
2023-06-01 01:00:00,0,-0.05,0.05
2023-06-01 01:30:00,0,-0.05,0.05
2023-06-01 02:00:00,0,-0.055,0.055
2023-06-01 02:30:00,0,-0.05,0.05
2023-06-01 03:00:00,0,-0.05,0.05
2023-06-01 03:30:00,0,-0.05,0.05
2023-06-01 04:00:00,0,-0.05,0.05
2023-06-01 04:30:00,0,-0.055,0.055
2023-06-01 05:00:00,0,-0.05,0.05
2023-06-01 05:30:00,0,0.1,-0.1
2023-06-01 06:00:00,0,0.41,-0.41
2023-06-01 06:30:00,0,0.95,-0.95
2023-06-01 07:00:00,0,1.375,-1.375
2023-06-01 07:30:00,0,1.845,-1.845
2023-06-01 08:00:00,0,2.92,-2.92
2023-06-01 08:30:00,0,4.33,-4.33
2023-06-01 09:00:00,0,4.805,-4.805
2023-06-01 09:30:00,0,5.335,-5.335
2023-06-01 10:00:00,0,6.1,-6.1
2023-06-01 10:30:00,0,9.58,-9.58
2023-06-01 11:00:00,0,11.595,-11.595
2023-06-01 11:30:00,0,14.555,-14.555
2023-06-01 12:00:00,0,17.35,-17.35
2023-06-01 12:30:00,0,18.985,-18.985
2023-06-01 13:00:00,0,22.0,-22.0
2023-06-01 13:30:00,0,23.105,-23.105
2023-06-01 14:00:00,0,23.315,-23.315
2023-06-01 14:30:00,0,23.38,-23.38
2023-06-01 15:00:00,0,20.56,-20.56
2023-06-01 15:30:00,0,18.0,-18.0
2023-06-01 16:00:00,0,17.99,-17.99
2023-06-01 16:30:00,0,15.925,-15.925
2023-06-01 17:00:00,0,13.585,-13.585
2023-06-01 17:30:00,0,11.13,-11.13
2023-06-01 18:00:00,0,8.48,-8.48
2023-06-01 18:30:00,0,5.84,-5.84
2023-06-01 19:00:00,0,3.48,-3.48
2023-06-01 19:30:00,0,1.655,-1.655
2023-06-01 20:00:00,0,0.73,-0.73
2023-06-01 20:30:00,0,0.29,-0.29
2023-06-01 21:00:00,0,-0.05,0.05
2023-06-01 21:30:00,0,-0.09,0.09
2023-06-01 22:00:00,0,-0.07,0.07
2023-06-01 22:30:00,0,-0.065,0.065
2023-06-01 23:00:00,0,-0.065,0.065
2023-06-01 23:30:00,0,-0.07,0.07
2023-06-02 00:00:00,0,-0.07,0.07
2023-06-02 00:30:00,0,-0.07,0.07
2023-06-02 01:00:00,0,-0.075,0.075
2023-06-02 01:30:00,0,-0.07,0.07
2023-06-02 02:00:00,0,-0.07,0.07
2023-06-02 02:30:00,0,-0.075,0.075
2023-06-02 03:00:00,0,-0.07,0.07
2023-06-02 03:30:00,0,-0.07,0.07
2023-06-02 04:00:00,0,-0.075,0.075
2023-06-02 04:30:00,0,-0.07,0.07
2023-06-02 05:00:00,0,-0.055,0.055
2023-06-02 05:30:00,0,0.145,-0.145
2023-06-02 06:00:00,0,0.725,-0.725
2023-06-02 06:30:00,0,1.56,-1.56
2023-06-02 07:00:00,0,2.33,-2.33
2023-06-02 07:30:00,0,2.805,-2.805
2023-06-02 08:00:00,0,5.61,-5.61
2023-06-02 08:30:00,0,8.32,-8.32
2023-06-02 09:00:00,0,8.66,-8.66
2023-06-02 09:30:00,0,8.725,-8.725
2023-06-02 10:00:00,0,11.07,-11.07
2023-06-02 10:30:00,0,15.105,-15.105
2023-06-02 11:00:00,0,17.86,-17.86
2023-06-02 11:30:00,0,20.795,-20.795
2023-06-02 12:00:00,0,15.33,-15.33
2023-06-02 12:30:00,0,15.94,-15.94
2023-06-02 13:00:00,0,21.39,-21.39
2023-06-02 13:30:00,0,21.45,-21.45
2023-06-02 14:00:00,0,21.67,-21.67
2023-06-02 14:30:00,0,23.185,-23.185
2023-06-02 15:00:00,0,23.685,-23.685
2023-06-02 15:30:00,0,22.785,-22.785
2023-06-02 16:00:00,0,20.195,-20.195
2023-06-02 16:30:00,0,17.925,-17.925
2023-06-02 17:00:00,0,15.32,-15.32
2023-06-02 17:30:00,0,12.565,-12.565
2023-06-02 18:00:00,0,9.59,-9.59
2023-06-02 18:30:00,0,6.64,-6.64
2023-06-02 19:00:00,0,3.925,-3.925
2023-06-02 19:30:00,0,1.845,-1.845
2023-06-02 20:00:00,0,0.775,-0.775
2023-06-02 20:30:00,0,0.305,-0.305
2023-06-02 21:00:00,0,-0.06,0.06
2023-06-02 21:30:00,0,-0.1,0.1
2023-06-02 22:00:00,0,-0.055,0.055
2023-06-02 22:30:00,0,-0.05,0.05
2023-06-02 23:00:00,0,-0.045,0.045
2023-06-02 23:30:00,0,-0.05,0.05
2023-06-03 00:00:00,0,-0.05,0.05
2023-06-03 00:30:00,0,-0.05,0.05
2023-06-03 01:00:00,0,-0.045,0.045
2023-06-03 01:30:00,0,-0.05,0.05
2023-06-03 02:00:00,0,-0.055,0.055
2023-06-03 02:30:00,0,-0.05,0.05
2023-06-03 03:00:00,0,-0.05,0.05
2023-06-03 03:30:00,0,-0.05,0.05
2023-06-03 04:00:00,0,-0.05,0.05
2023-06-03 04:30:00,0,-0.055,0.055
2023-06-03 05:00:00,0,0.145,-0.145
2023-06-03 05:30:00,0,0.66,-0.66
2023-06-03 06:00:00,0,1.425,-1.425
2023-06-03 06:30:00,0,3.11,-3.11
2023-06-03 07:00:00,0,5.61,-5.61
2023-06-03 07:30:00,0,8.33,-8.33
2023-06-03 08:00:00,0,11.465,-11.465
2023-06-03 08:30:00,0,14.455,-14.455
2023-06-03 09:00:00,0,17.345,-17.345
2023-06-03 09:30:00,0,19.695,-19.695
2023-06-03 10:00:00,0,21.72,-21.72
2023-06-03 10:30:00,0,22.34,-22.34
2023-06-03 11:00:00,0,23.52,-23.52
2023-06-03 11:30:00,0,24.265,-24.265
2023-06-03 12:00:00,0,24.59,-24.59
2023-06-03 12:30:00,0,24.925,-24.925
2023-06-03 13:00:00,0,24.925,-24.925
2023-06-03 13:30:00,0,24.44,-24.44
2023-06-03 14:00:00,0,24.925,-24.925
2023-06-03 14:30:00,0,24.925,-24.925
2023-06-03 15:00:00,0,24.635,-24.635
2023-06-03 15:30:00,0,23.365,-23.365
2023-06-03 16:00:00,0,21.455,-21.455
2023-06-03 16:30:00,0,18.895,-18.895
2023-06-03 17:00:00,0,15.91,-15.91
2023-06-03 17:30:00,0,13.27,-13.27
2023-06-03 18:00:00,0,10.05,-10.05
2023-06-03 18:30:00,0,6.88,-6.88
2023-06-03 19:00:00,0,4.075,-4.075
2023-06-03 19:30:00,0,2.045,-2.045
2023-06-03 20:00:00,0,0.905,-0.905
2023-06-03 20:30:00,0,0.335,-0.335
2023-06-03 21:00:00,0,-0.065,0.065
2023-06-03 21:30:00,0,-0.08,0.08
2023-06-03 22:00:00,0,-0.045,0.045
2023-06-03 22:30:00,0,-0.05,0.05
2023-06-03 23:00:00,0,-0.045,0.045
2023-06-03 23:30:00,0,-0.05,0.05
2023-06-04 00:00:00,0,-0.05,0.05
2023-06-04 00:30:00,0,-0.05,0.05
2023-06-04 01:00:00,0,-0.05,0.05
2023-06-04 01:30:00,0,-0.05,0.05
2023-06-04 02:00:00,0,-0.05,0.05
2023-06-04 02:30:00,0,-0.05,0.05
2023-06-04 03:00:00,0,-0.05,0.05
2023-06-04 03:30:00,0,-0.05,0.05
2023-06-04 04:00:00,0,-0.05,0.05
2023-06-04 04:30:00,0,-0.05,0.05
2023-06-04 05:00:00,0,0.11,-0.11
2023-06-04 05:30:00,0,0.705,-0.705
2023-06-04 06:00:00,0,1.765,-1.765
2023-06-04 06:30:00,0,3.625,-3.625
2023-06-04 07:00:00,0,5.94,-5.94
2023-06-04 07:30:00,0,8.77,-8.77
2023-06-04 08:00:00,0,11.925,-11.925
2023-06-04 08:30:00,0,14.945,-14.945
2023-06-04 09:00:00,0,17.84,-17.84
2023-06-04 09:30:00,0,20.43,-20.43
2023-06-04 10:00:00,0,22.51,-22.51
2023-06-04 10:30:00,0,24.03,-24.03
2023-06-04 11:00:00,0,24.9,-24.9
2023-06-04 11:30:00,0,24.925,-24.925
2023-06-04 12:00:00,0,24.925,-24.925
2023-06-04 12:30:00,0,24.93,-24.93
2023-06-04 13:00:00,0,24.925,-24.925
2023-06-04 13:30:00,0,24.925,-24.925
2023-06-04 14:00:00,0,24.93,-24.93
2023-06-04 14:30:00,0,24.925,-24.925
2023-06-04 15:00:00,0,24.53,-24.53
2023-06-04 15:30:00,0,23.095,-23.095
2023-06-04 16:00:00,0,21.165,-21.165
2023-06-04 16:30:00,0,18.745,-18.745
2023-06-04 17:00:00,0,16.12,-16.12
2023-06-04 17:30:00,0,13.19,-13.19
2023-06-04 18:00:00,0,10.06,-10.06
2023-06-04 18:30:00,0,6.95,-6.95
2023-06-04 19:00:00,0,4.15,-4.15
2023-06-04 19:30:00,0,2.05,-2.05
2023-06-04 20:00:00,0,0.925,-0.925
2023-06-04 20:30:00,0,0.32,-0.32
2023-06-04 21:00:00,0,-0.055,0.055
2023-06-04 21:30:00,0,-0.085,0.085
2023-06-04 22:00:00,0,-0.045,0.045
2023-06-04 22:30:00,0,-0.045,0.045
2023-06-04 23:00:00,0,-0.05,0.05
2023-06-04 23:30:00,0,-0.045,0.045
2023-06-05 00:00:00,0,-0.05,0.05
2023-06-05 00:30:00,0,-0.05,0.05
2023-06-05 01:00:00,0,-0.05,0.05
2023-06-05 01:30:00,0,-0.05,0.05
2023-06-05 02:00:00,0,-0.045,0.045
2023-06-05 02:30:00,0,-0.05,0.05
2023-06-05 03:00:00,0,-0.05,0.05
2023-06-05 03:30:00,0,-0.05,0.05
2023-06-05 04:00:00,0,-0.05,0.05
2023-06-05 04:30:00,0,-0.05,0.05
2023-06-05 05:00:00,0,0.02,-0.02
2023-06-05 05:30:00,0,0.255,-0.255
2023-06-05 06:00:00,0,0.805,-0.805
2023-06-05 06:30:00,0,2.065,-2.065
2023-06-05 07:00:00,0,3.115,-3.115
2023-06-05 07:30:00,0,3.155,-3.155
2023-06-05 08:00:00,0,3.93,-3.93
2023-06-05 08:30:00,0,4.66,-4.66
2023-06-05 09:00:00,0,5.59,-5.59
2023-06-05 09:30:00,0,6.38,-6.38
2023-06-05 10:00:00,0,6.985,-6.985
2023-06-05 10:30:00,0,8.02,-8.02
2023-06-05 11:00:00,0,9.945,-9.945
2023-06-05 11:30:00,0,12.715,-12.715
2023-06-05 12:00:00,0,14.855,-14.855
2023-06-05 12:30:00,0,16.505,-16.505
2023-06-05 13:00:00,0,20.105,-20.105
2023-06-05 13:30:00,0,23.445,-23.445
2023-06-05 14:00:00,0,24.905,-24.905
2023-06-05 14:30:00,0,24.925,-24.925
2023-06-05 15:00:00,0,24.685,-24.685
2023-06-05 15:30:00,0,23.66,-23.66
2023-06-05 16:00:00,0,22.19,-22.19
2023-06-05 16:30:00,0,19.79,-19.79
2023-06-05 17:00:00,0,16.955,-16.955
2023-06-05 17:30:00,0,13.92,-13.92
2023-06-05 18:00:00,0,10.615,-10.615
2023-06-05 18:30:00,0,7.415,-7.415
2023-06-05 19:00:00,0,4.53,-4.53
2023-06-05 19:30:00,0,2.32,-2.32
2023-06-05 20:00:00,0,1.075,-1.075
2023-06-05 20:30:00,0,0.435,-0.435
2023-06-05 21:00:00,0,-0.045,0.045
2023-06-05 21:30:00,0,-0.085,0.085
2023-06-05 22:00:00,0,-0.05,0.05
2023-06-05 22:30:00,0,-0.05,0.05
2023-06-05 23:00:00,0,-0.05,0.05
2023-06-05 23:30:00,0,-0.045,0.045
2023-06-06 00:00:00,0,-0.05,0.05
2023-06-06 00:30:00,0,-0.05,0.05
2023-06-06 01:00:00,0,-0.05,0.05
2023-06-06 01:30:00,0,-0.05,0.05
2023-06-06 02:00:00,0,-0.05,0.05
2023-06-06 02:30:00,0,-0.05,0.05
2023-06-06 03:00:00,0,-0.05,0.05
2023-06-06 03:30:00,0,-0.05,0.05
2023-06-06 04:00:00,0,-0.05,0.05
2023-06-06 04:30:00,0,-0.05,0.05
2023-06-06 05:00:00,0,-0.05,0.05
2023-06-06 05:30:00,0,0.12,-0.12
2023-06-06 06:00:00,0,0.45,-0.45
2023-06-06 06:30:00,0,0.69,-0.69
2023-06-06 07:00:00,0,1.46,-1.46
2023-06-06 07:30:00,0,2.055,-2.055
2023-06-06 08:00:00,0,2.74,-2.74
2023-06-06 08:30:00,0,3.425,-3.425
2023-06-06 09:00:00,0,4.27,-4.27
2023-06-06 09:30:00,0,4.59,-4.59
2023-06-06 10:00:00,0,5.005,-5.005
2023-06-06 10:30:00,0,6.27,-6.27
2023-06-06 11:00:00,0,8.105,-8.105
2023-06-06 11:30:00,0,8.545,-8.545
2023-06-06 12:00:00,0,9.15,-9.15
2023-06-06 12:30:00,0,8.59,-8.59
2023-06-06 13:00:00,0,9.68,-9.68
2023-06-06 13:30:00,0,11.45,-11.45
2023-06-06 14:00:00,0,12.72,-12.72
2023-06-06 14:30:00,0,11.595,-11.595
2023-06-06 15:00:00,0,10.01,-10.01
2023-06-06 15:30:00,0,11.35,-11.35
2023-06-06 16:00:00,0,11.875,-11.875
2023-06-06 16:30:00,0,10.33,-10.33
2023-06-06 17:00:00,0,11.4,-11.4
2023-06-06 17:30:00,0,7.44,-7.44
2023-06-06 18:00:00,0,6.45,-6.45
2023-06-06 18:30:00,0,5.585,-5.585
2023-06-06 19:00:00,0,3.38,-3.38
2023-06-06 19:30:00,0,1.84,-1.84
2023-06-06 20:00:00,0,0.89,-0.89
2023-06-06 20:30:00,0,0.255,-0.255
2023-06-06 21:00:00,0,-0.09,0.09
2023-06-06 21:30:00,0,-0.075,0.075
2023-06-06 22:00:00,0,-0.05,0.05
2023-06-06 22:30:00,0,-0.05,0.05
2023-06-06 23:00:00,0,-0.045,0.045
2023-06-06 23:30:00,0,-0.05,0.05
2023-06-07 00:00:00,0,-0.05,0.05
2023-06-07 00:30:00,0,-0.05,0.05
2023-06-07 01:00:00,0,-0.05,0.05
2023-06-07 01:30:00,0,-0.05,0.05
2023-06-07 02:00:00,0,-0.05,0.05
2023-06-07 02:30:00,0,-0.05,0.05
2023-06-07 03:00:00,0,-0.05,0.05
2023-06-07 03:30:00,0,-0.05,0.05
2023-06-07 04:00:00,0,-0.05,0.05
2023-06-07 04:30:00,0,-0.05,0.05
2023-06-07 05:00:00,0,0.045,-0.045
2023-06-07 05:30:00,0,0.545,-0.545
2023-06-07 06:00:00,0,1.45,-1.45
2023-06-07 06:30:00,0,2.55,-2.55
2023-06-07 07:00:00,0,4.25,-4.25
2023-06-07 07:30:00,0,6.055,-6.055
2023-06-07 08:00:00,0,7.64,-7.64
2023-06-07 08:30:00,0,10.39,-10.39
2023-06-07 09:00:00,0,11.495,-11.495
2023-06-07 09:30:00,0,14.54,-14.54
2023-06-07 10:00:00,0,17.525,-17.525
2023-06-07 10:30:00,0,21.95,-21.95
2023-06-07 11:00:00,0,23.35,-23.35
2023-06-07 11:30:00,0,24.495,-24.495
2023-06-07 12:00:00,0,24.605,-24.605
2023-06-07 12:30:00,0,24.735,-24.735
2023-06-07 13:00:00,0,24.915,-24.915
2023-06-07 13:30:00,0,24.885,-24.885
2023-06-07 14:00:00,0,24.875,-24.875
2023-06-07 14:30:00,0,24.655,-24.655
2023-06-07 15:00:00,0,23.49,-23.49
2023-06-07 15:30:00,0,21.995,-21.995
2023-06-07 16:00:00,0,20.065,-20.065
2023-06-07 16:30:00,0,17.74,-17.74
2023-06-07 17:00:00,0,15.075,-15.075
2023-06-07 17:30:00,0,12.235,-12.235
2023-06-07 18:00:00,0,9.34,-9.34
2023-06-07 18:30:00,0,6.53,-6.53
2023-06-07 19:00:00,0,4.045,-4.045
2023-06-07 19:30:00,0,2.22,-2.22
2023-06-07 20:00:00,0,1.065,-1.065
2023-06-07 20:30:00,0,0.37,-0.37
2023-06-07 21:00:00,0,-0.065,0.065
2023-06-07 21:30:00,0,-0.075,0.075
2023-06-07 22:00:00,0,-0.045,0.045
2023-06-07 22:30:00,0,-0.045,0.045
2023-06-07 23:00:00,0,-0.05,0.05
2023-06-07 23:30:00,0,-0.05,0.05
2023-06-08 00:00:00,0,-0.05,0.05
2023-06-08 00:30:00,0,-0.05,0.05
2023-06-08 01:00:00,0,-0.05,0.05
